sentence,entities
"Can you guide me to 643 CARROLLS  LANE, Roxburgh Park?","[(24, 38, 'STREET_NAME'), (40, 53, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I’m at 105 PARK  STREET.,"[(11, 23, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 810 CL1486.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I’m at 642 BRADFIELD  LANE.,"[(11, 26, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
"Can you guide me to 748 LIDDY  WALK, Gardenvale?","[(24, 35, 'STREET_NAME'), (37, 47, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am at 143 UNIVERSITY  STREET in Seabrook.,"[(12, 30, 'STREET_NAME'), (34, 42, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I'm on VESSEL  LANE in Heidelberg West.,"[(7, 19, 'STREET_NAME'), (23, 38, 'SUBURB')]"
I need to go to Caulfield.,"[(16, 25, 'SUBURB')]"
I'm heading towards 456 PT5230 in Seaholme.,"[(24, 30, 'STREET_NAME'), (34, 42, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I’m at 40 DANKS  LANE.,"[(10, 21, 'STREET_NAME'), (7, 9, 'STREET_NUMBER')]"
I’m at 890 GEDDES  LANE.,"[(11, 23, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I am trying to reach CL1080.,"[(21, 27, 'STREET_NAME')]"
I need directions to CL1032 in Berwick.,"[(21, 27, 'STREET_NAME'), (31, 38, 'SUBURB')]"
"Currently, I am on PL5098.","[(19, 25, 'STREET_NAME')]"
I’m at 448 SAINT  MANGOS  LANE.,"[(11, 30, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I'm heading towards 683 SPRING  ST  WEST in Caroline Springs.,"[(24, 40, 'STREET_NAME'), (44, 60, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I am currently at 197 PL5368.,"[(22, 28, 'STREET_NAME'), (18, 21, 'STREET_NUMBER')]"
I am here in Wonga Park.,"[(13, 23, 'SUBURB')]"
I'm heading towards 123 CLEVE  LANE in Moonee Ponds.,"[(24, 35, 'STREET_NAME'), (39, 51, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 913 BELLAIR  STREET in Berwick.,"[(24, 39, 'STREET_NAME'), (43, 50, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm heading towards 50 CENTRE  PLACE in Noble Park North.,"[(23, 36, 'STREET_NAME'), (40, 56, 'SUBURB'), (20, 22, 'STREET_NUMBER')]"
I need directions to MCKILLOP  STREET in Ormond.,"[(21, 37, 'STREET_NAME'), (41, 47, 'SUBURB')]"
I am at 925 RALSTON  ST in Aurora.,"[(12, 23, 'STREET_NAME'), (27, 33, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I need to go to Houston.,"[(16, 23, 'SUBURB')]"
"I'm at 980 BELL  PLACE, Frankston.","[(11, 22, 'STREET_NAME'), (24, 33, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I'm heading towards 572 UNION  ROAD in Gardenvale.,"[(24, 35, 'STREET_NAME'), (39, 49, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
I'm on CL1657 in Maribyrnong.,"[(7, 13, 'STREET_NAME'), (17, 28, 'SUBURB')]"
I need to go to Westgarth.,"[(16, 25, 'SUBURB')]"
I am here at 335 INK  LANE.,"[(17, 26, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
I need to go to Maidstone.,"[(16, 25, 'SUBURB')]"
I’m at 743 POLLINGTON  TCE.,"[(11, 26, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to go to Fitzroy North.,"[(16, 29, 'SUBURB')]"
I am at 155 POWELL  LANE in North Richmond.,"[(12, 24, 'STREET_NAME'), (28, 42, 'SUBURB'), (8, 11, 'STREET_NUMBER')]"
I'm heading towards 225 CL156 in Blackburn South.,"[(24, 29, 'STREET_NAME'), (33, 48, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
"I'm at 440 LITTLE GREY  ST, Selby.","[(11, 26, 'STREET_NAME'), (28, 33, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get to 248 LITTLE GREY  ST.,"[(21, 36, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
I need to go to Sunbury.,"[(16, 23, 'SUBURB')]"
I need directions to TOPE  ST in Oakleigh South.,"[(21, 29, 'STREET_NAME'), (33, 47, 'SUBURB')]"
I need to get to 53 ST.LEONARDS  PL.,"[(20, 35, 'STREET_NAME'), (17, 19, 'STREET_NUMBER')]"
I’m at 997 PL5250.,"[(11, 17, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I’m at 891 SOUTHGATE  STREET.,"[(11, 28, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 309 SINGLETON  LANE.,"[(24, 39, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
"I'm at 794 CL156, Burnside.","[(11, 16, 'STREET_NAME'), (18, 26, 'SUBURB'), (7, 10, 'STREET_NUMBER')]"
I need to get here: 794 CL1320.,"[(24, 30, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I am here at 698 STRAHAN  LANE.,"[(17, 30, 'STREET_NAME'), (13, 16, 'STREET_NUMBER')]"
Where is 631 PL5253 located?,"[(13, 19, 'STREET_NAME'), (9, 12, 'STREET_NUMBER')]"
I need to get here: 468 SHIEL  PLACE.,"[(24, 36, 'STREET_NAME'), (20, 23, 'STREET_NUMBER')]"
I’m at 198 CARROLL  STREET.,"[(11, 26, 'STREET_NAME'), (7, 10, 'STREET_NUMBER')]"
I need directions to SHERWIN  STREET in Thomastown.,"[(21, 36, 'STREET_NAME'), (40, 50, 'SUBURB')]"
I need to get to 898 WIRRAWAY  DRIVE.,"[(21, 36, 'STREET_NAME'), (17, 20, 'STREET_NUMBER')]"
"Can you guide me to 462 PL5081, Mont Albert?","[(24, 30, 'STREET_NAME'), (32, 43, 'SUBURB'), (20, 23, 'STREET_NUMBER')]"
